,material_id,formation_energy_per_atom,band_gap,pretty_formula,e_above_hull,elements,cif,spacegroup.number
2514,mp-1025384,-0.5229401999999997,0.0,Pr2Re2Si2C,0.0,"['C', 'Pr', 'Re', 'Si']","# generated using pymatgen
data_Pr2Re2Si2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98052702
_cell_length_b   5.98052702
_cell_length_c   7.23439997
_cell_angle_alpha   54.68092499
_cell_angle_beta   54.68092499
_cell_angle_gamma   40.00000596
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2Re2Si2C
_chemical_formula_sum   'Pr2 Re2 Si2 C1'
_cell_volume   131.11903702
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.42881100  0.42881100  0.30466400  1
  Pr  Pr1  1  0.57118900  0.57118900  0.69533600  1
  Re  Re2  1  0.79697600  0.79697600  0.08726100  1
  Re  Re3  1  0.20302400  0.20302400  0.91273900  1
  Si  Si4  1  0.84763300  0.84763300  0.70346100  1
  Si  Si5  1  0.15236700  0.15236700  0.29653900  1
  C  C6  1  0.00000000  0.00000000  0.00000000  1
",12
39556,mp-1103592,-3.0906099250000003,2.9071,HfTaNO3,0.0531695608333322,"['Hf', 'N', 'O', 'Ta']","# generated using pymatgen
data_HfTaNO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12871800
_cell_length_b   5.07227200
_cell_length_c   5.30470822
_cell_angle_alpha   80.75089088
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfTaNO3
_chemical_formula_sum   'Hf2 Ta2 N2 O6'
_cell_volume   136.20388948
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.46114200  0.28191200  0.53670500  1
  Hf  Hf1  1  0.96114200  0.71808800  0.46329500  1
  Ta  Ta2  1  0.05414400  0.28797500  0.03739000  1
  Ta  Ta3  1  0.55414400  0.71202500  0.96261000  1
  N  N4  1  0.26634700  0.55230200  0.21158100  1
  N  N5  1  0.76634700  0.44769800  0.78841900  1
  O  O6  1  0.31082300  0.06060800  0.90034400  1
  O  O7  1  0.81082300  0.93939200  0.09965600  1
  O  O8  1  0.65575400  0.92438000  0.60105000  1
  O  O9  1  0.15575400  0.07562000  0.39895000  1
  O  O10  1  0.75269000  0.44611100  0.27123900  1
  O  O11  1  0.25269000  0.55388900  0.72876100  1
",4
40800,mp-1518592,-3.3046626470000007,0.0,Eu2HfVO6,0.0566776072500054,"['Eu', 'Hf', 'O', 'V']","# generated using pymatgen
data_Eu2HfVO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.68377776
_cell_length_b   5.68377776
_cell_length_c   5.68377776
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Eu2HfVO6
_chemical_formula_sum   'Eu2 Hf1 V1 O6'
_cell_volume   129.83634111
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu0  1  0.25000000  0.25000000  0.25000000  1
  Eu  Eu1  1  0.75000000  0.75000000  0.75000000  1
  Hf  Hf2  1  0.00000000  -0.00000000  0.00000000  1
  V  V3  1  0.50000000  0.50000000  0.50000000  1
  O  O4  1  0.74461433  0.25538567  0.25538567  1
  O  O5  1  0.25538567  0.74461433  0.74461433  1
  O  O6  1  0.74461433  0.25538567  0.74461433  1
  O  O7  1  0.25538567  0.74461433  0.25538567  1
  O  O8  1  0.74461433  0.74461433  0.25538567  1
  O  O9  1  0.25538567  0.25538567  0.74461433  1
",225
38013,mp-1071595,-0.7844363433333333,0.0,PrSnAu,0.0453669116666661,"['Au', 'Pr', 'Sn']","# generated using pymatgen
data_PrSnAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.74705009
_cell_length_b   4.74705009
_cell_length_c   8.04979100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000129
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrSnAu
_chemical_formula_sum   'Pr2 Sn2 Au2'
_cell_volume   157.09517991
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.00000000  0.00000000  0.50000000  1
  Pr  Pr1  1  0.00000000  0.00000000  0.00000000  1
  Sn  Sn2  1  0.33333300  0.66666700  0.75000000  1
  Sn  Sn3  1  0.66666700  0.33333300  0.25000000  1
  Au  Au4  1  0.33333300  0.66666700  0.25000000  1
  Au  Au5  1  0.66666700  0.33333300  0.75000000  1
",194
26214,mp-1221982,-0.094832178333333,0.0,MgZn4Ag5,0.010301958269232,"['Ag', 'Mg', 'Zn']","# generated using pymatgen
data_MgZn4Ag5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.13657100
_cell_length_b   3.13657100
_cell_length_c   16.98663000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgZn4Ag5
_chemical_formula_sum   'Mg1 Zn4 Ag5'
_cell_volume   167.11578475
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.50000000  0.50000000  0.10000000  1
  Zn  Zn1  1  0.50000000  0.50000000  0.30503700  1
  Zn  Zn2  1  0.50000000  0.50000000  0.50068500  1
  Zn  Zn3  1  0.50000000  0.50000000  0.69931500  1
  Zn  Zn4  1  0.50000000  0.50000000  0.89496300  1
  Ag  Ag5  1  0.00000000  0.00000000  0.99131300  1
  Ag  Ag6  1  0.00000000  0.00000000  0.20868700  1
  Ag  Ag7  1  0.00000000  0.00000000  0.40274200  1
  Ag  Ag8  1  0.00000000  0.00000000  0.60000000  1
  Ag  Ag9  1  0.00000000  0.00000000  0.79725800  1
",123
21484,mp-976114,-0.3111643629166667,0.0,Li2CdHg,0.0011843087499998,"['Li', 'Cd', 'Hg']","# generated using pymatgen
data_Li2CdHg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.71208605
_cell_length_b   4.71208605
_cell_length_c   4.71208605
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2CdHg
_chemical_formula_sum   'Li2 Cd1 Hg1'
_cell_volume   73.98175690
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.25000000  0.25000000  0.25000000  1
  Li  Li1  1  0.75000000  0.75000000  0.75000000  1
  Cd  Cd2  1  0.50000000  0.50000000  0.50000000  1
  Hg  Hg3  1  0.00000000  0.00000000  0.00000000  1
",225
34028,mp-1080608,-0.3060717879166663,0.0,SrIn3,0.0318342202500003,"['In', 'Sr']","# generated using pymatgen
data_SrIn3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.16711194
_cell_length_b   7.16711194
_cell_length_c   5.25629500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999949
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrIn3
_chemical_formula_sum   'Sr2 In6'
_cell_volume   233.82919843
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.33333300  0.66666700  0.25000000  1
  Sr  Sr1  1  0.66666700  0.33333300  0.75000000  1
  In  In2  1  0.84490100  0.15509900  0.25000000  1
  In  In3  1  0.84490100  0.68980300  0.25000000  1
  In  In4  1  0.31019700  0.15509900  0.25000000  1
  In  In5  1  0.15509900  0.84490100  0.75000000  1
  In  In6  1  0.15509900  0.31019700  0.75000000  1
  In  In7  1  0.68980300  0.84490100  0.75000000  1
",194
14431,mp-862620,-0.0526952699999991,0.0,IrRu3,0.0,"['Ir', 'Ru']","# generated using pymatgen
data_IrRu3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.47934974
_cell_length_b   5.47934974
_cell_length_c   4.32485800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   IrRu3
_chemical_formula_sum   'Ir2 Ru6'
_cell_volume   112.45028022
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ir  Ir0  1  0.33333300  0.66666700  0.75000000  1
  Ir  Ir1  1  0.66666700  0.33333300  0.25000000  1
  Ru  Ru2  1  0.16592700  0.33185400  0.25000000  1
  Ru  Ru3  1  0.66814600  0.83407300  0.25000000  1
  Ru  Ru4  1  0.16592700  0.83407300  0.25000000  1
  Ru  Ru5  1  0.83407300  0.66814600  0.75000000  1
  Ru  Ru6  1  0.33185400  0.16592700  0.75000000  1
  Ru  Ru7  1  0.83407300  0.16592700  0.75000000  1
",194
16520,mp-1061,-1.022731471666667,0.0,PrPt2,0.0,"['Pr', 'Pt']","# generated using pymatgen
data_PrPt2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.54436770
_cell_length_b   5.54436770
_cell_length_c   5.54436770
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrPt2
_chemical_formula_sum   'Pr2 Pt4'
_cell_volume   120.51499224
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.75000000  0.75000000  0.75000000  1
  Pr  Pr1  1  0.50000000  0.50000000  0.50000000  1
  Pt  Pt2  1  0.12500000  0.62500000  0.12500000  1
  Pt  Pt3  1  0.12500000  0.12500000  0.62500000  1
  Pt  Pt4  1  0.62500000  0.12500000  0.12500000  1
  Pt  Pt5  1  0.12500000  0.12500000  0.12500000  1
",227
15225,mp-13898,-3.00328976074138,5.3089,Cs2NaInF6,0.0,"['Cs', 'F', 'In', 'Na']","# generated using pymatgen
data_Cs2NaInF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.42386005
_cell_length_b   6.42386005
_cell_length_c   6.42386005
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs2NaInF6
_chemical_formula_sum   'Cs2 Na1 In1 F6'
_cell_volume   187.44472101
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.75000000  0.75000000  0.75000000  1
  Cs  Cs1  1  0.25000000  0.25000000  0.25000000  1
  Na  Na2  1  0.50000000  0.50000000  0.50000000  1
  In  In3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.76622900  0.23377100  0.23377100  1
  F  F5  1  0.23377100  0.23377100  0.76622900  1
  F  F6  1  0.23377100  0.76622900  0.76622900  1
  F  F7  1  0.23377100  0.76622900  0.23377100  1
  F  F8  1  0.76622900  0.23377100  0.76622900  1
  F  F9  1  0.76622900  0.76622900  0.23377100  1
",225
18943,mp-863690,-0.3852193623994271,0.0,Ti2MnCo,0.0,"['Ti', 'Mn', 'Co']","# generated using pymatgen
data_Ti2MnCo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.19880290
_cell_length_b   4.19880290
_cell_length_c   4.19880290
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2MnCo
_chemical_formula_sum   'Ti2 Mn1 Co1'
_cell_volume   52.34334420
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.25000000  0.25000000  0.25000000  1
  Ti  Ti1  1  0.75000000  0.75000000  0.75000000  1
  Mn  Mn2  1  0.00000000  0.00000000  0.00000000  1
  Co  Co3  1  0.50000000  0.50000000  0.50000000  1
",225
4932,mp-754217,-3.05904478,3.6664,SmIO,0.0,"['I', 'O', 'Sm']","# generated using pymatgen
data_SmIO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.04022200
_cell_length_b   4.04022200
_cell_length_c   9.42586100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SmIO
_chemical_formula_sum   'Sm2 I2 O2'
_cell_volume   153.86204109
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.00000000  0.50000000  0.12172000  1
  Sm  Sm1  1  0.50000000  0.00000000  0.87828000  1
  I  I2  1  0.00000000  0.50000000  0.67376500  1
  I  I3  1  0.50000000  0.00000000  0.32623500  1
  O  O4  1  0.00000000  0.00000000  0.00000000  1
  O  O5  1  0.50000000  0.50000000  0.00000000  1
",129
16260,mp-22793,-0.160579924000001,0.0,AlFe3C,0.0,"['Al', 'Fe', 'C']","# generated using pymatgen
data_AlFe3C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.75576500
_cell_length_b   3.75576500
_cell_length_c   3.75576500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlFe3C
_chemical_formula_sum   'Al1 Fe3 C1'
_cell_volume   52.97796003
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.00000000  0.00000000  0.00000000  1
  Fe  Fe1  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe2  1  0.50000000  0.50000000  0.00000000  1
  Fe  Fe3  1  0.50000000  0.00000000  0.50000000  1
  C  C4  1  0.50000000  0.50000000  0.50000000  1
",221
4513,mp-1025339,-0.6708366747619051,0.0,Y2Fe2Si2C,0.0,"['Y', 'Fe', 'Si', 'C']","# generated using pymatgen
data_Y2Fe2Si2C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.62942336
_cell_length_b   5.62942336
_cell_length_c   6.73376663
_cell_angle_alpha   53.45526641
_cell_angle_beta   53.45526641
_cell_angle_gamma   40.77003883
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2Fe2Si2C
_chemical_formula_sum   'Y2 Fe2 Si2 C1'
_cell_volume   107.62498752
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.44005700  0.44005700  0.29468500  1
  Y  Y1  1  0.55994300  0.55994300  0.70531500  1
  Fe  Fe2  1  0.79890800  0.79890800  0.09537000  1
  Fe  Fe3  1  0.20109200  0.20109200  0.90463000  1
  Si  Si4  1  0.83805400  0.83805400  0.71730600  1
  Si  Si5  1  0.16194600  0.16194600  0.28269400  1
  C  C6  1  0.00000000  0.00000000  0.00000000  1
",12
35052,mp-1102898,-1.133955780666667,1.8193,K3NiO2,0.0354436408333329,"['K', 'Ni', 'O']","# generated using pymatgen
data_K3NiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.11344800
_cell_length_b   6.11344800
_cell_length_c   7.04111100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K3NiO2
_chemical_formula_sum   'K6 Ni2 O4'
_cell_volume   263.15621779
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.00000000  0.50000000  0.25000000  1
  K  K1  1  0.50000000  0.00000000  0.75000000  1
  K  K2  1  0.00000000  0.50000000  0.75000000  1
  K  K3  1  0.50000000  0.00000000  0.25000000  1
  K  K4  1  0.00000000  0.00000000  0.50000000  1
  K  K5  1  0.50000000  0.50000000  0.00000000  1
  Ni  Ni6  1  0.50000000  0.50000000  0.50000000  1
  Ni  Ni7  1  0.00000000  0.00000000  0.00000000  1
  O  O8  1  0.70763700  0.70763700  0.50000000  1
  O  O9  1  0.29236300  0.29236300  0.50000000  1
  O  O10  1  0.79236300  0.20763700  0.00000000  1
  O  O11  1  0.20763700  0.79236300  0.00000000  1
",136
43874,mp-754766,-3.148553248888889,2.2272,LiVF4,0.0722378733333304,"['F', 'Li', 'V']","# generated using pymatgen
data_LiVF4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48454525
_cell_length_b   5.48454525
_cell_length_c   5.49905008
_cell_angle_alpha   62.21606461
_cell_angle_beta   62.21606461
_cell_angle_gamma   33.10842471
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiVF4
_chemical_formula_sum   'Li1 V1 F4'
_cell_volume   78.94959990
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50000000  0.50000000  0.50000000  1
  V  V1  1  0.00000000  0.00000000  0.00000000  1
  F  F2  1  0.61544200  0.61544200  0.02414900  1
  F  F3  1  0.90849200  0.90849200  0.39858700  1
  F  F4  1  0.38455800  0.38455800  0.97585100  1
  F  F5  1  0.09150800  0.09150800  0.60141300  1
",12
11791,mp-28282,-2.0291016151666668,0.0,RbTiCl3,0.0,"['Rb', 'Ti', 'Cl']","# generated using pymatgen
data_RbTiCl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.41837234
_cell_length_b   7.41837234
_cell_length_c   5.60180600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000304
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbTiCl3
_chemical_formula_sum   'Rb2 Ti2 Cl6'
_cell_volume   266.97828431
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.66666700  0.33333300  0.25000000  1
  Rb  Rb1  1  0.33333300  0.66666700  0.75000000  1
  Ti  Ti2  1  0.00000000  0.00000000  0.50000000  1
  Ti  Ti3  1  0.00000000  0.00000000  0.00000000  1
  Cl  Cl4  1  0.83693600  0.67387300  0.75000000  1
  Cl  Cl5  1  0.16306400  0.83693600  0.25000000  1
  Cl  Cl6  1  0.67387300  0.83693600  0.25000000  1
  Cl  Cl7  1  0.32612700  0.16306400  0.75000000  1
  Cl  Cl8  1  0.16306400  0.32612700  0.25000000  1
  Cl  Cl9  1  0.83693600  0.16306400  0.75000000  1
",194
30696,mp-1219061,-0.3464593860526315,0.0,Sn2Ge5(SbTe5)2,0.0207919742105255,"['Ge', 'Sb', 'Sn', 'Te']","# generated using pymatgen
data_Sn2Ge5(SbTe5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.29519852
_cell_length_b   4.29519852
_cell_length_c   37.92945247
_cell_angle_alpha   90.00000000
_cell_angle_beta   86.75412620
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sn2Ge5(SbTe5)2
_chemical_formula_sum   'Sn2 Ge5 Sb2 Te10'
_cell_volume   604.70490019
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.90702300  0.95351200  0.13946500  1
  Sn  Sn1  1  0.50292700  0.25146300  0.24561000  1
  Ge  Ge2  1  0.29495500  0.14747700  0.55756800  1
  Ge  Ge3  1  0.89598000  0.44799000  0.65603000  1
  Ge  Ge4  1  0.49602300  0.74801200  0.75596500  1
  Ge  Ge5  1  0.09579500  0.04789700  0.85630800  1
  Ge  Ge6  1  0.69482000  0.34741000  0.95777000  1
  Sb  Sb7  1  0.10024100  0.55012100  0.34963800  1
  Sb  Sb8  1  0.69660300  0.84830100  0.45509600  1
  Te  Te9  1  0.40416500  0.70208300  0.89375200  1
  Te  Te10  1  0.20425500  0.10212800  0.69361700  1
  Te  Te11  1  0.80431700  0.40215800  0.79352500  1
  Te  Te12  1  0.99940400  0.49970200  0.50089400  1
  Te  Te13  1  0.60320400  0.80160200  0.59519500  1
  Te  Te14  1  0.39881600  0.19940800  0.40177500  1
  Te  Te15  1  0.19836600  0.59918300  0.20245100  1
  Te  Te16  1  0.79747400  0.89873700  0.30378900  1
  Te  Te17  1  0.00358700  0.00179400  0.99461900  1
  Te  Te18  1  0.60204500  0.30102300  0.09693200  1
",160
36162,mp-1211920,-2.6591488285,0.0,Ho2NiRuO6,0.0386017998749963,"['Ho', 'Ni', 'O', 'Ru']","# generated using pymatgen
data_Ho2NiRuO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.71510600
_cell_length_b   5.27956300
_cell_length_c   9.30418951
_cell_angle_alpha   55.29294816
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho2NiRuO6
_chemical_formula_sum   'Ho4 Ni2 Ru2 O12'
_cell_volume   230.78719597
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.42373000  0.22714000  0.74713600  1
  Ho  Ho1  1  0.57627000  0.77286000  0.25286400  1
  Ho  Ho2  1  0.92373000  0.77286000  0.75286400  1
  Ho  Ho3  1  0.07627000  0.22714000  0.24713600  1
  Ni  Ni4  1  0.00000000  0.50000000  0.50000000  1
  Ni  Ni5  1  0.50000000  0.50000000  0.00000000  1
  Ru  Ru6  1  0.00000000  0.00000000  0.00000000  1
  Ru  Ru7  1  0.50000000  0.00000000  0.50000000  1
  O  O8  1  0.04818200  0.37253400  0.75352600  1
  O  O9  1  0.95181800  0.62746600  0.24647400  1
  O  O10  1  0.54818200  0.62746600  0.74647400  1
  O  O11  1  0.45181800  0.37253400  0.25352600  1
  O  O12  1  0.69838300  0.88361500  0.93296100  1
  O  O13  1  0.30161700  0.11638500  0.06703900  1
  O  O14  1  0.19838300  0.11638500  0.56703900  1
  O  O15  1  0.80161700  0.88361500  0.43296100  1
  O  O16  1  0.18881700  0.74590200  0.94278700  1
  O  O17  1  0.81118300  0.25409800  0.05721300  1
  O  O18  1  0.68881700  0.25409800  0.55721300  1
  O  O19  1  0.31118300  0.74590200  0.44278700  1
",14
